trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.9, 'e': 0.0001602307322544464}",30,16,25.790247188140007,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.9, 'e': 0.00015625}",20,12,-26.069944884336014,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.9, 'e': 0.00015241579027587258}",20,3,24.46052888762747,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.9, 'e': 0.000148720999405116}",30,19,21.587442656580265,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.9, 'e': 0.00014515894904920887}",20,15,10.919302972220947,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.9, 'e': 0.0001417233560090703}",20,15,10.427858340818686,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.9, 'e': 0.0001384083044982699}",25,12,22.894098460239867,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.9, 'e': 0.00013520822065981613}",25,15,15.408031754783524,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.9, 'e': 0.0001321178491214163}",20,8,22.899257039217666,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.9, 'e': 0.00012913223140495868}",20,0,27.873493442908423,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.9, 'e': 0.00012624668602449185}",20,7,19.949486520121322,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.9, 'e': 0.0001234567901234568}",20,11,16.578095552166662,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.9, 'e': 0.00012075836251660427}",25,18,13.590213230620586,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.9, 'e': 0.00011814744801512288}",30,19,20.49267775199644,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.9, 'e': 0.00011562030292519366}",20,13,13.401857391922142,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.9, 'e': 0.00011317338162064282}",25,11,23.48684558576394,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.9, 'e': 0.00011080332409972299}",35,27,11.964998788677896,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.9, 'e': 0.00010850694444444444}",25,0,33.14491912909111,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.9, 'e': 0.00010628122010840685}",35,17,34.03487706400414,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.9, 'e': 0.00010412328196584757}",20,0,27.087748706831693,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.9, 'e': 0.00010203040506070809}",20,9,19.962580164097755,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.9, 'e': 0.0001}",25,16,17.34248463288397,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.9, 'e': 9.802960494069208e-05}",20,0,35.3305019069735,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.9, 'e': 9.611687812379854e-05}",25,13,21.843534363898456,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.9, 'e': 9.425959091337543e-05}",35,10,38.72483366393589,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.9, 'e': 9.245562130177515e-05}",30,9,33.330101779846046,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.9, 'e': 9.070294784580499e-05}",20,16,8.620479661699765,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.9, 'e': 8.8999644001424e-05}",25,5,31.046999963536237,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.9, 'e': 8.734387282732117e-05}",25,14,21.374826332836914,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.9, 'e': 8.573388203017832e-05}",25,8,25.450925746915853,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.9, 'e': 8.416799932665601e-05}",25,0,46.442216052042546,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.9, 'e': 8.264462809917356e-05}",25,18,12.003585381630552,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.9, 'e': 8.116224332440549e-05}",20,12,1.2940900716860142,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.9, 'e': 7.971938775510203e-05}",30,9,35.26100509020285,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.9, 'e': 7.831466833737959e-05}",25,17,14.834061457624035,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.9, 'e': 7.694675284702985e-05}",20,7,20.1703094354478,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.9, 'e': 7.561436672967863e-05}",20,6,23.294196481151744,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.9, 'e': 7.431629013079666e-05}",20,14,11.494211591354459,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.9, 'e': 7.305135510263716e-05}",25,8,30.07977925100351,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.9, 'e': 7.181844297615628e-05}",20,16,8.906706290883395,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.9, 'e': 7.06164818868724e-05}",25,19,12.535466833078562,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.9, 'e': 6.944444444444444e-05}",25,17,13.56729647797358,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.9, 'e': 6.830134553650706e-05}",20,10,14.603535944154848,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.9, 'e': 6.718624025799516e-05}",30,10,37.23970537160274,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.9, 'e': 6.609822195782933e-05}",30,0,43.65940183205756,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.9, 'e': 6.503642039542144e-05}",30,17,-18.770569873693532,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.9, 'e': 6.4e-05}",30,9,16.935336191425847,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
126,False,"{'a': 0.9, 'e': 6.298815822625347e-05}",20,3,28.8588095733325,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.9, 'e': 6.2000124000248e-05}",20,12,14.39373427561147,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.9, 'e': 6.103515625e-05}",20,13,10.656536335241311,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.9, 'e': 6.009254251547383e-05}",25,14,19.825701795029758,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.9, 'e': 5.9171597633136094e-05}",25,14,16.072292246039453,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.9, 'e': 5.8271662490530857e-05}",25,10,24.872177058256913,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.9, 'e': 5.73921028466483e-05}",35,7,46.987850028469886,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.9, 'e': 5.6532308214144386e-05}",20,15,11.415918174947244,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.9, 'e': 5.569169079973268e-05}",35,21,18.655182492349812,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.9, 'e': 5.486968449931413e-05}",20,11,15.485035606169237,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.9, 'e': 5.406574394463668e-05}",25,3,35.0626305131904,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.9, 'e': 5.3279343598486864e-05}",25,0,44.01140401366355,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.9, 'e': 5.250997689561016e-05}",20,7,20.0393741927062,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.9, 'e': 5.175715542673774e-05}",25,11,21.38333678596176,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.9, 'e': 5.102040816326531e-05}",30,8,37.34238754660129,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.9, 'e': 5.02992807202857e-05}",30,8,38.00022753959259,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.9, 'e': 4.959333465582226e-05}",25,0,42.90094349013259,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.9, 'e': 4.8902146804244705e-05}",30,18,21.345202511077403,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.9, 'e': 4.8225308641975306e-05}",25,20,6.468651120079985,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.9, 'e': 4.756242568370987e-05}",25,12,23.1392819848434,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.9, 'e': 4.6913116907487336e-05}",25,3,38.40773271894221,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.9, 'e': 4.627701420704336e-05}",20,11,14.115052056489445,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.9, 'e': 4.565376186997809e-05}",20,16,7.555545353008295,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.9, 'e': 4.504301608035674e-05}",20,6,22.612782234884314,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.9, 'e': 4.4444444444444447e-05}",25,20,10.324190103691429,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.9, 'e': 4.385772553835358e-05}",30,16,27.091132882339508,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.9, 'e': 4.3282548476454294e-05}",30,13,31.009763066923657,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.9, 'e': 4.2718612499466016e-05}",20,6,26.0475042268325,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.9, 'e': 4.2165626581210996e-05}",20,16,5.774794607102182,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.9, 'e': 4.162330905306972e-05}",20,6,22.58112348405056,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.9, 'e': 4.10913872452334e-05}",30,16,24.711015308774563,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.9, 'e': 4.056959714390036e-05}",25,12,22.637525468725126,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.9, 'e': 4.00576830636116e-05}",20,8,21.47433850721945,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.9, 'e': 3.955539733396622e-05}",20,0,29.656356196902436,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,2,26.787102114376676,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,13,13.983032711353468,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,4,25.402142465711627,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,14,11.094433963744713,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,16,18.705713046651145,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,16,6.629609056235768,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,25,22.815447725855435,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,3,48.73243698617461,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,15,21.103813901840553,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,20,22.615426982367808,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
